iter	Passed	Remaining
405	6056	8861
406	6072	8847
407	6084	8828
408	6094	8806
409	6109	8791
410	6118	8769
411	6127	8745
412	6140	8728
413	6150	8705
414	6163	8687
415	6175	8668
416	6188	8651
417	6200	8632
418	6213	8615
419	6222	8592
420	6236	8576
421	6247	8556
422	6258	8537
423	6270	8519
424	6275	8490
425	6280	8461
426	6283	8432
427	6289	8405
428	6296	8380
429	6299	8350
430	6304	8323
431	6312	8299
432	6316	8271
433	6322	8245
434	6329	8220
435	6334	8194
436	6341	8170
437	6348	8145
438	6351	8117
439	6355	8088
440	6365	8068
441	6369	8040
442	6374	8015
443	6384	7994
444	6389	7969
445	6395	7943
446	6405	7925
447	6417	7906
448	6431	7892
449	6441	7873
450	6455	7858
451	6465	7838
452	6480	7825
453	6494	7810
454	6504	7791
455	6519	7778
456	6530	7759
457	6540	7740
458	6552	7723
459	6563	7704
460	6575	7688
461	6587	7671
462	6598	7652
463	6608	7633
464	6621	7617
465	6632	7600
466	6642	7580
467	6657	7568
468	6667	7548
469	6681	7534
470	6699	7524
471	6712	7509
472	6723	7491
473	6731	7470
474	6746	7456
475	6756	7438
476	6763	7415
477	6777	7400
478	6787	7382
479	6797	7364
480	6804	7342
481	6821	7330
482	6832	7313
483	6841	7293
484	6852	7276
485	6864	7260
486	6873	7240
487	6885	7223
488	6894	7204
489	6902	7184
490	6913	7166
491	6922	7148
492	6932	7129
493	6942	7111
494	6956	7096
495	6965	7077
496	6974	7058
497	6980	7036
498	6985	7013
499	6990	6990
500	6997	6969
501	7002	6946
502	7007	6924
503	7013	6902
504	7018	6879
505	7026	6859
506	7042	6848
507	7052	6830
508	7065	6815
509	7074	6797
510	7087	6782
511	7096	6763
512	7109	6749
513	7115	6728
514	7129	6714
515	7139	6696
516	7157	6687
517	7163	6665
518	7168	6643
519	7172	6620
520	7177	6598
521	7185	6579
522	7189	6557
523	7194	6535
524	7202	6516
525	7206	6494
526	7212	6473
527	7218	6452
528	7224	6432
529	7230	6412
530	7237	6392
531	7244	6372
532	7248	6351
533	7253	6329
534	7261	6311
535	7266	6290
536	7275	6272
537	7295	6264
538	7309	6251
539	7328	6242
540	7345	6231
541	7352	6213
542	7377	6208
543	7393	6197
544	7424	6198
545	7433	6180
546	7459	6177
547	7474	6165
548	7491	6153
549	7511	6145
550	7524	6131
551	7535	6115
552	7547	6100
553	7562	6088
554	7575	6073
555	7586	6058
556	7600	6045
557	7613	6030
558	7622	6013
559	7632	5997
560	7642	5980
561	7653	5964
562	7660	5946
563	7675	5933
564	7685	5917
565	7694	5900
566	7704	5883
567	7712	5866
568	7721	5849
569	7735	5835
570	7746	5819
571	7757	5804
572	7770	5790
573	7782	5775
574	7794	5761
575	7803	5744
576	7814	5728
577	7825	5713
578	7838	5699
579	7847	5682
580	7870	5675
581	7881	5660
582	7888	5642
583	7892	5622
584	7898	5602
585	7901	5582
586	7905	5561
587	7910	5542
588	7915	5523
589	7918	5502
590	7921	5482
591	7926	5463
592	7931	5443
593	7935	5424
594	7940	5404
595	7943	5384
596	7947	5364
597	7951	5345
598	7956	5326
599	7960	5307
600	7965	5288
601	7971	5270
602	7975	5250
603	7981	5232
604	7984	5213
605	7988	5194
606	7994	5175
607	7999	5157
608	8002	5138
609	8006	5118
610	8011	5100
611	8017	5082
612	8024	5065
613	8030	5048
614	8036	5030
615	8041	5012
616	8046	4994
617	8052	4977
618	8058	4959
619	8063	4942
620	8069	4924
621	8074	4907
622	8079	4889
623	8086	4872
624	8091	4855
625	8097	4837
626	8103	4820
627	8108	4803
628	8113	4785
629	8119	4768
630	8124	4751
631	8130	4734
632	8137	4717
633	8143	4701
634	8158	4689
635	8167	4674
636	8179	4661
637	8192	4648
638	8201	4633
639	8212	4619
640	8223	4605
641	8232	4590
642	8242	4576
643	8254	4562
644	8265	4549
645	8276	4535
646	8284	4520
647	8294	4505
648	8303	4490
649	8314	4476
650	8324	4463
651	8334	4448
652	8343	4433
653	8352	4418
654	8360	4403
655	8371	4389
656	8380	4375
657	8391	4361
658	8400	4346
659	8412	4333
660	8421	4319
661	8431	4304
662	8446	4293
663	8456	4279
664	8465	4264
665	8476	4251
666	8487	4237
667	8498	4223
668	8508	4209
669	8518	4195
670	8528	4181
671	8538	4167
672	8551	4154
673	8562	4141
674	8572	4127
675	8581	4113
676	8592	4099
677	8600	4084
678	8614	4072
679	8626	4059
680	8633	4044
681	8641	4029
682	8650	4014
683	8660	4000
684	8671	3987
685	8679	3973
686	8688	3958
687	8696	3943
688	8704	3929
689	8711	3914
690	8719	3899
691	8728	3885
692	8734	3869
693	8739	3853
694	8745	3837
695	8749	3821
696	8754	3805
697	8759	3790
698	8763	3773
699	8768	3758
700	8773	3742
701	8778	3726
