iter	Logloss
0	0.6023567558
1	0.5211832114
2	0.4553320665
3	0.398404084
4	0.3527400812
5	0.3086908824
6	0.2729783193
7	0.2441876777
8	0.2198192888
9	0.1946031631
10	0.1770053712
11	0.1614529702
12	0.1480933781
13	0.1356899949
14	0.123683642
15	0.111351882
16	0.1023443902
17	0.09477768107
18	0.08881577063
19	0.08127456659
20	0.07524171791
21	0.07072162422
22	0.06582413998
23	0.06126354748
24	0.05800228081
25	0.05435835448
26	0.05038569021
27	0.04761125788
28	0.04512726042
29	0.04325564412
30	0.04098478492
31	0.03910711689
32	0.03705978083
33	0.03577619191
34	0.03425910817
35	0.03293835911
36	0.03147892676
37	0.03028422471
38	0.02920840084
39	0.0277943117
40	0.02670312958
41	0.02608478356
42	0.02502809721
43	0.02401085602
44	0.02293353654
45	0.02218079394
46	0.0214056779
47	0.02075204245
48	0.01998181678
49	0.01906555289
50	0.0182814145
51	0.01779046223
52	0.01731432274
53	0.01670842825
54	0.01615067765
55	0.0157647595
56	0.01536473201
57	0.01499346765
58	0.01448681031
59	0.01413902076
60	0.01381650472
61	0.01354255406
62	0.0133649707
63	0.01305960898
64	0.01284553238
65	0.01267392476
66	0.01248197311
67	0.01227874962
68	0.01212776257
69	0.0119118845
70	0.01184411952
71	0.01162830381
72	0.01144355836
73	0.01122018651
74	0.01112121145
75	0.01094364179
76	0.01067213768
77	0.01048785066
78	0.01032045494
79	0.01015761538
80	0.009965168102
81	0.00967656368
82	0.009557445957
83	0.009479817511
84	0.009390794776
85	0.009355189747
86	0.009160661722
87	0.00897550848
88	0.008843140542
89	0.008725615529
90	0.008539355059
91	0.008334386502
92	0.008261141805
93	0.008141666897
94	0.008059520215
95	0.007866701662
96	0.007743919245
97	0.007600212917
98	0.007530602386
99	0.007406999645
100	0.007377603432
101	0.007275794271
102	0.007191122109
103	0.007042924269
104	0.007003532917
105	0.006958027855
106	0.00686041514
107	0.006788128613
108	0.006725269115
109	0.006595638876
110	0.006553582781
111	0.006512655855
112	0.006419150568
113	0.006295341345
114	0.006197066962
115	0.006068634634
116	0.005983814719
117	0.005890095132
118	0.005781110722
119	0.005703555663
120	0.005595187112
121	0.005510699277
122	0.005394517663
123	0.005339297588
124	0.005268070957
125	0.005175343297
126	0.005087388974
127	0.00498076508
128	0.004917890528
129	0.004842451203
130	0.004732503316
131	0.004684686459
132	0.004615453254
133	0.004570826345
134	0.004504154897
135	0.004436845507
136	0.004404753879
137	0.004308436313
138	0.004296221879
139	0.004220285525
140	0.004173072506
141	0.004119959308
142	0.004119938835
143	0.004044347118
144	0.003963089947
145	0.003906420003
146	0.003876939489
147	0.003814060516
148	0.003764293368
149	0.003733898489
150	0.003697506831
151	0.003643114272
152	0.003586303085
153	0.003582205239
154	0.003536197299
155	0.003522908994
156	0.003522909525
157	0.003475479319
158	0.003475474796
159	0.003448956273
160	0.003394174548
161	0.003394161414
162	0.003375387638
163	0.003342589357
164	0.003303587697
165	0.00325701771
166	0.003204163313
167	0.003175916134
168	0.003130361134
169	0.003077074701
170	0.003018751861
171	0.002989507847
172	0.002955009855
173	0.002955008315
174	0.002955008043
175	0.002955011122
176	0.002920328376
177	0.002908429354
178	0.002864639252
179	0.002830752756
180	0.002788888561
181	0.002753075463
182	0.002722229436
183	0.002670933789
184	0.002640890497
185	0.002640889802
186	0.002598154094
187	0.002564508977
188	0.002534950302
189	0.002502088146
190	0.002479114547
191	0.002449566581
